timestep,time,golf_0,golf_1,golf_2,sprinter_0,sprinter_1,sprinter_2
113,2024-05-14 04:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
114,2024-05-14 04:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
115,2024-05-14 04:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
116,2024-05-14 05:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
117,2024-05-14 05:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
118,2024-05-14 05:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
119,2024-05-14 05:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
120,2024-05-14 06:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
121,2024-05-14 06:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
122,2024-05-14 06:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
123,2024-05-14 06:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
124,2024-05-14 07:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
125,2024-05-14 07:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
126,2024-05-14 07:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
127,2024-05-14 07:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
128,2024-05-14 08:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
129,2024-05-14 08:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
130,2024-05-14 08:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
131,2024-05-14 08:45:00,0.8472598086032144,0.8528329961447164,0.8404947894275588,0.8085872679192303,0.8212432148952716,0.8253879775906866
132,2024-05-14 09:00:00,0.8405578086032144,0.8494764214462208,0.8354914373638387,0.7976739226848714,0.813927301220614,0.8172305509312002
133,2024-05-14 09:15:00,0.8338558086032144,0.8461198467477252,0.8304880853001185,0.7867605774505124,0.8066113875459563,0.8090731242717139
134,2024-05-14 09:30:00,0.8271538086032144,0.8427632720492296,0.8254847332363984,0.7758472322161536,0.7992954738712986,0.8009156976122275
135,2024-05-14 09:45:00,0.8204518086032143,0.839406697350734,0.8204813811726782,0.7649338869817947,0.791979560196641,0.792758270952741
136,2024-05-14 10:00:00,0.8137498086032143,0.8360501226522384,0.8154780291089581,0.7540205417474357,0.7846636465219833,0.7846008442932546
137,2024-05-14 10:15:00,0.8070478086032143,0.8326935479537428,0.8104746770452379,0.7431071965130768,0.7773477328473256,0.7764434176337682
138,2024-05-14 10:30:00,0.8003458086032144,0.8293369732552472,0.8054713249815177,0.7321938512787178,0.7700318191726679,0.7682859909742819
139,2024-05-14 10:45:00,0.7936438086032144,0.8259803985567516,0.8004679729177976,0.7212805060443589,0.7627159054980102,0.7601285643147955
140,2024-05-14 11:00:00,0.7869418086032144,0.822623823858256,0.7954646208540774,0.71036716081,0.7553999918233525,0.7519711376553091
141,2024-05-14 11:15:00,0.7802398086032144,0.8192672491597605,0.7904612687903573,0.6994538155756411,0.7480840781486948,0.7438137109958227
142,2024-05-14 11:30:00,0.7735378086032143,0.8159106744612649,0.7854579167266371,0.6885404703412822,0.7407681644740371,0.7356562843363362
143,2024-05-14 11:45:00,0.7668358086032143,0.8125540997627693,0.780454564662917,0.6776271251069232,0.7334522507993795,0.7274988576768499
144,2024-05-14 12:00:00,0.7601338086032143,0.8091975250642737,0.7754512125991968,0.6667137798725643,0.7261363371247218,0.7193414310173635
145,2024-05-14 12:15:00,0.7534318086032143,0.8058409503657781,0.7704478605354766,0.6558004346382054,0.7188204234500641,0.7111840043578771
146,2024-05-14 12:30:00,0.7467298086032144,0.8024843756672825,0.7654445084717565,0.6448870894038464,0.7115045097754065,0.7030265776983907
147,2024-05-14 12:45:00,0.7400278086032144,0.7991278009687869,0.7604411564080363,0.6339737441694875,0.7041885961007488,0.6948691510389042
148,2024-05-14 13:00:00,0.7333258086032144,0.7957712262702912,0.7554378043443162,0.6230603989351287,0.6968726824260911,0.6867117243794179
